Line#;Rain;Temperature;RH;DewPoint;WindSpeed;GustSpeed;WindDirection;#;PLANTA;FRUTO;INCIDENCIA;SEVERIDAD (%)
634;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;1;PL001;1;0;0
635;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;2;PL001;2;0;0
636;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;3;PL001;3;0;0
637;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;4;PL001;4;0;0
638;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;5;PL001;5;0;0
639;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;6;PL001;6;0;0
640;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;7;PL001;7;0;0
641;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;8;PL001;8;0;0
642;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;9;PL001;9;0;0
643;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;10;PL001;10;0;0
644;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;11;PL002;1;0;0
645;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;12;PL002;2;1;45
646;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;13;PL002;3;0;0
647;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;14;PL002;4;0;0
648;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;15;PL002;5;1;40
649;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;16;PL002;6;1;75
650;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;17;PL002;7;0;0
651;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;18;PL002;8;0;0
652;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;19;PL002;9;0;0
653;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;20;PL002;10;0;0
654;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;21;PL003;1;0;0
655;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;22;PL003;2;0;0
656;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;23;PL003;3;0;0
657;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;24;PL003;4;0;0
658;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;25;PL003;5;0;0
659;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;26;PL003;6;0;0
660;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;27;PL003;7;0;0
661;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;28;PL003;8;0;0
662;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;29;PL003;9;1;70
663;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;30;PL003;10;0;0
664;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;31;PL004;1;0;0
665;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;32;PL004;2;0;0
666;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;33;PL004;3;0;0
667;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;34;PL004;4;0;0
668;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;35;PL004;5;1;70
669;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;36;PL004;6;0;0
670;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;37;PL004;7;0;0
671;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;38;PL004;8;0;0
672;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;39;PL004;9;0;0
673;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;40;PL004;10;0;0
674;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;41;PL005;1;0;0
675;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;42;PL005;2;0;0
676;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;43;PL005;3;1;40
677;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;44;PL005;4;0;0
678;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;45;PL005;5;0;0
679;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;46;PL005;6;0;0
680;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;47;PL005;7;1;60
681;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;48;PL005;8;0;0
682;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;49;PL005;9;1;70
683;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;50;PL005;10;0;0
684;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;51;PL006;1;0;0
685;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;52;PL006;2;0;0
686;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;53;PL006;3;0;0
687;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;54;PL006;4;0;0
688;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;55;PL006;5;0;0
689;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;56;PL006;6;0;0
690;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;57;PL006;7;0;0
691;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;58;PL006;8;0;0
692;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;59;PL006;9;1;40
693;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;60;PL006;10;1;30
694;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;61;PL007;1;0;0
695;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;62;PL007;2;0;0
696;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;63;PL007;3;0;0
697;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;64;PL007;4;0;0
698;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;65;PL007;5;0;0
699;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;66;PL007;6;0;0
700;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;67;PL007;7;0;0
701;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;68;PL007;8;0;0
702;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;69;PL007;9;0;0
703;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;70;PL007;10;0;0
704;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;71;PL008;1;0;0
705;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;72;PL008;2;0;0
706;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;73;PL008;3;1;50
707;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;74;PL008;4;0;0
708;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;75;PL008;5;0;0
709;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;76;PL008;6;0;0
710;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;77;PL008;7;0;0
711;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;78;PL008;8;0;0
712;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;79;PL008;9;0;0
713;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;80;PL008;10;0;0
714;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;81;PL009;1;0;0
715;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;82;PL009;2;0;0
716;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;83;PL009;3;0;0
717;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;84;PL009;4;0;0
718;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;85;PL009;5;0;0
719;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;86;PL009;6;0;0
720;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;87;PL009;7;0;0
721;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;88;PL009;8;0;0
722;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;89;PL009;9;1;40
723;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;90;PL009;10;0;0
724;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;91;PL010;1;0;0
725;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;92;PL010;2;0;0
726;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;93;PL010;3;0;0
727;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;94;PL010;4;0;0
728;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;95;PL010;5;0;0
729;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;96;PL010;6;0;0
730;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;97;PL010;7;0;0
731;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;98;PL010;8;1;65
732;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;99;PL010;9;0;0
733;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;100;PL010;10;0;0
