Line#;Date;;Rain (S-RGF 21246400:21256003-1), mm, PATFA1 (INIAP);Temperature (S-THC 21246400:21262596-1), *C, PATFA1 (INIAP);RH (S-THC 21246400:21262596-2), %, PATFA1 (INIAP);Dew Point (S-THC 21246400:21262596-3), *C.1, PATFA1 (INIAP);Wind Speed (S-WSB 21246400:21262656-1), m/s, PATFA1 (INIAP);Gust Speed (S-WSB 21246400:21262656-2), m/s.1, PATFA1 (INIAP);Wind Direction (S-WDA 21246400:21268488-1), *, PATFA1 (INIAP);#;PLANTA;FRUTO;INCIDENCIA;SEVERIDAD (%),Line#;Date;Rain (S-RGF 21246400:21256003-1)
634;08/15/22 00:10:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;1;PL001;1;0;0,,,,,,,,,
635;08/15/22 00:15:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;2;PL001;2;0;0,,,,,,,,,
636;08/15/22 00:20:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;3;PL001;3;0;0,,,,,,,,,
637;08/15/22 00:25:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;4;PL001;4;0;0,,,,,,,,,
638;08/15/22 00:30:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;5;PL001;5;0;0,,,,,,,,,
639;08/15/22 00:35:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;6;PL001;6;0;0,,,,,,,,,
640;08/15/22 00:40:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;7;PL001;7;0;0,,,,,,,,,
641;08/15/22 00:45:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;8;PL001;8;0;0,,,,,,,,,
642;08/15/22 00:50:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;9;PL001;9;0;0,,,,,,,,,
643;08/15/22 00:55:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;10;PL001;10;0;0,,,,,,,,,
644;08/15/22 01:00:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;11;PL002;1;0;0,,,,,,,,,
645;08/15/22 01:05:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;12;PL002;2;1;45,,,,,,,,,
646;08/15/22 01:10:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;13;PL002;3;0;0,,,,,,,,,
647;08/15/22 01:15:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;14;PL002;4;0;0,,,,,,,,,
648;08/15/22 01:20:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;15;PL002;5;1;40,,,,,,,,,
649;08/15/22 01:25:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;16;PL002;6;1;75,,,,,,,,,
650;08/15/22 01:30:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;17;PL002;7;0;0,,,,,,,,,
651;08/15/22 01:35:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;18;PL002;8;0;0,,,,,,,,,
652;08/15/22 01:40:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;19;PL002;9;0;0,,,,,,,,,
653;08/15/22 01:45:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;20;PL002;10;0;0,,,,,,,,,
654;08/15/22 01:50:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;21;PL003;1;0;0,,,,,,,,,
655;08/15/22 01:55:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;22;PL003;2;0;0,,,,,,,,,
656;08/15/22 02:00:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;23;PL003;3;0;0,,,,,,,,,
657;08/15/22 02:05:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;24;PL003;4;0;0,,,,,,,,,
658;08/15/22 02:10:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;25;PL003;5;0;0,,,,,,,,,
659;08/15/22 02:15:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;26;PL003;6;0;0,,,,,,,,,
660;08/15/22 02:20:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;27;PL003;7;0;0,,,,,,,,,
661;08/15/22 02:25:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;28;PL003;8;0;0,,,,,,,,,
662;08/15/22 02:30:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;29;PL003;9;1;70,,,,,,,,,
663;08/15/22 02:35:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;30;PL003;10;0;0,,,,,,,,,
664;08/15/22 02:40:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;31;PL004;1;0;0,,,,,,,,,
665;08/15/22 02:45:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;32;PL004;2;0;0,,,,,,,,,
666;08/15/22 02:50:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;33;PL004;3;0;0,,,,,,,,,
667;08/15/22 02:55:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;34;PL004;4;0;0,,,,,,,,,
668;08/15/22 03:00:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;35;PL004;5;1;70,,,,,,,,,
669;08/15/22 03:05:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;36;PL004;6;0;0,,,,,,,,,
670;08/15/22 03:10:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;37;PL004;7;0;0,,,,,,,,,
671;08/15/22 03:15:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;38;PL004;8;0;0,,,,,,,,,
672;08/15/22 03:20:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;39;PL004;9;0;0,,,,,,,,,
673;08/15/22 03:25:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;40;PL004;10;0;0,,,,,,,,,
674;08/15/22 03:30:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;41;PL005;1;0;0,,,,,,,,,
675;08/15/22 03:35:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;42;PL005;2;0;0,,,,,,,,,
676;08/15/22 03:40:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;43;PL005;3;1;40,,,,,,,,,
677;08/15/22 03:45:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;44;PL005;4;0;0,,,,,,,,,
678;08/15/22 03:50:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;45;PL005;5;0;0,,,,,,,,,
679;08/15/22 03:55:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;46;PL005;6;0;0,,,,,,,,,
680;08/15/22 04:00:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;47;PL005;7;1;60,,,,,,,,,
681;08/15/22 04:05:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;48;PL005;8;0;0,,,,,,,,,
682;08/15/22 04:10:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;49;PL005;9;1;70,,,,,,,,,
683;08/15/22 04:15:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;50;PL005;10;0;0,,,,,,,,,
684;08/15/22 04:20:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;51;PL006;1;0;0,,,,,,,,,
685;08/15/22 04:25:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;52;PL006;2;0;0,,,,,,,,,
686;08/15/22 04:30:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;53;PL006;3;0;0,,,,,,,,,
687;08/15/22 04:35:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;54;PL006;4;0;0,,,,,,,,,
688;08/15/22 04:40:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;55;PL006;5;0;0,,,,,,,,,
689;08/15/22 04:45:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;56;PL006;6;0;0,,,,,,,,,
690;08/15/22 04:50:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;57;PL006;7;0;0,,,,,,,,,
691;08/15/22 04:55:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;58;PL006;8;0;0,,,,,,,,,
692;08/15/22 05:00:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;59;PL006;9;1;40,,,,,,,,,
693;08/15/22 05:05:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;60;PL006;10;1;30,,,,,,,,,
694;08/15/22 05:10:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;61;PL007;1;0;0,,,,,,,,,
695;08/15/22 05:15:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;62;PL007;2;0;0,,,,,,,,,
696;08/15/22 05:20:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;63;PL007;3;0;0,,,,,,,,,
697;08/15/22 05:25:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;64;PL007;4;0;0,,,,,,,,,
698;08/15/22 05:30:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;65;PL007;5;0;0,,,,,,,,,
699;08/15/22 05:35:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;66;PL007;6;0;0,,,,,,,,,
700;08/15/22 05:40:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;67;PL007;7;0;0,,,,,,,,,
701;08/15/22 05:45:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;68;PL007;8;0;0,,,,,,,,,
702;08/15/22 05:50:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;69;PL007;9;0;0,,,,,,,,,
703;08/15/22 05:55:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;70;PL007;10;0;0,,,,,,,,,
704;08/15/22 06:00:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;71;PL008;1;0;0,,,,,,,,,
705;08/15/22 06:05:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;72;PL008;2;0;0,,,,,,,,,
706;08/15/22 06:10:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;73;PL008;3;1;50,,,,,,,,,
707;08/15/22 06:15:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;74;PL008;4;0;0,,,,,,,,,
708;08/15/22 06:20:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;75;PL008;5;0;0,,,,,,,,,
709;08/15/22 06:25:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;76;PL008;6;0;0,,,,,,,,,
710;08/15/22 06:30:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;77;PL008;7;0;0,,,,,,,,,
711;08/15/22 06:35:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;78;PL008;8;0;0,,,,,,,,,
712;08/15/22 06:40:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;79;PL008;9;0;0,,,,,,,,,
713;08/15/22 06:45:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;80;PL008;10;0;0,,,,,,,,,
714;08/15/22 06:50:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;81;PL009;1;0;0,,,,,,,,,
715;08/15/22 06:55:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;82;PL009;2;0;0,,,,,,,,,
716;08/15/22 07:00:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;83;PL009;3;0;0,,,,,,,,,
717;08/15/22 07:05:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;84;PL009;4;0;0,,,,,,,,,
718;08/15/22 07:10:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;85;PL009;5;0;0,,,,,,,,,
719;08/15/22 07:15:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;86;PL009;6;0;0,,,,,,,,,
720;08/15/22 07:20:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;87;PL009;7;0;0,,,,,,,,,
721;08/15/22 07:25:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;88;PL009;8;0;0,,,,,,,,,
722;08/15/22 07:30:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;89;PL009;9;1;40,,,,,,,,,
723;08/15/22 07:35:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;90;PL009;10;0;0,,,,,,,,,
724;08/15/22 07:40:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;91;PL010;1;0;0,,,,,,,,,
725;08/15/22 07:45:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;92;PL010;2;0;0,,,,,,,,,
726;08/15/22 07:50:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;93;PL010;3;0;0,,,,,,,,,
727;08/15/22 07:55:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;94;PL010;4;0;0,,,,,,,,,
728;08/15/22 08:00:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;95;PL010;5;0;0,,,,,,,,,
729;08/15/22 08:05:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;96;PL010;6;0;0,,,,,,,,,
730;08/15/22 08:10:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;97;PL010;7;0;0,,,,,,,,,
